"Model","RMSE_Calib","NRMSE_Calib_mean","NRMSE_Calib_iq","MI_Calib","KGE_Calib","NSE_Calib","PBIAS_Calib","RMSE_Valid","NRMSE_Valid_mean","NRMSE_Valid_iq","MI_Valid","KGE_Valid","NSE_Valid","PBIAS_Valid","Site","colors"
"local_bfs",0.57342311031019,0.122,0.213,0.529,0.948325968768695,0.927288833439714,0,1.73009337724024,0.548,1.081,0.301,0.226918065416155,-1.05304200671654,39.5,"05447500","#f8961e"
"all_ws",1.72654913119286,0.377,0.241,0.441,0.71408645419446,0.80465309222532,24,1.25375581566093,0.196,0.314,0.435,0.748556635836533,0.735584293995772,-0.1,"05455100","#772e25"
"all_ws_attr",0.971521042325287,0.212,0.136,0.606,0.901780552548003,0.938148094821415,9.4,2.05643029206843,0.321,0.515,0.436,0.479616606545484,0.288640210901139,13.5,"05455100","#0096c7"
"all_ws_bfs",1.42175925846486,0.31,0.199,0.441,0.899005928361831,0.867535108363885,7.9,1.70552223900313,0.266,0.427,0.428,0.592285431591117,0.510699003145704,4,"05455100","#2b9348"
"all_ws_bfs_attr",0.788072724966342,0.172,0.11,0.562,0.933837923919015,0.95930123298608,-2.3,1.98669017007057,0.31,0.498,0.328,0.702039261353319,0.336071039415925,19.6,"05455100","cyan"
"local",1.07430153394959,0.234,0.15,0.522,0.941503544605548,0.924368789732279,2.2,2.62605370452198,0.41,0.658,0.301,0.494319534168046,-0.160028165431168,13.3,"05455100","#f94144"
"local_bfs",0.916137830512126,0.2,0.128,0.543,0.953692548335688,0.944999037127502,0.5,2.18458109458598,0.341,0.547,0.463,0.680227756548711,0.197217920849056,22,"05455100","#f8961e"
"all_ws",1.79733378257416,0.213,0.749,0.181,0.359180271885303,0.352290684805291,2.6,1.77158787755113,0.221,0.886,0.311,0.385652525491413,0.0936770835877992,2.3,"05457000","#772e25"
"all_ws_attr",0.936987290965888,0.111,0.39,0.425,0.847417819424115,0.823968630048185,0,1.31695318185861,0.164,0.658,0.368,0.810548149353247,0.499160892025732,9.5,"05457000","#0096c7"
"all_ws_bfs",1.46275506131393,0.173,0.609,0.281,0.593429958699622,0.570991509590765,2.6,1.50383966348151,0.188,0.752,0.279,0.397012747717309,0.346928650234147,-0.5,"05457000","#2b9348"
"all_ws_bfs_attr",0.88908055110342,0.105,0.37,0.437,0.853394371080975,0.841508896810073,0.2,1.53433546860154,0.191,0.767,0.355,0.764100518022526,0.320173310505494,12.7,"05457000","cyan"
"local",0.98332770017256,0.116,0.41,0.385,0.849239046144336,0.806126158821337,-0.3,1.37342383104679,0.171,0.687,0.408,0.808642311505414,0.455288280605805,11.1,"05457000","#f94144"
"local_bfs",0.874271098222284,0.103,0.364,0.422,0.863376932571359,0.846744908541819,0.2,1.38456257235541,0.173,0.692,0.378,0.768967013445002,0.44641701054832,9.2,"05457000","#f8961e"
