"Model","RMSE_Calib","NRMSE_Calib_mean","NRMSE_Calib_iq","MI_Calib","RMSE_Valid","NRMSE_Valid_mean","NRMSE_Valid_iq","MI_Valid","Site"
"local_bfs",2.20002776950756,0.193,0.16,0.484,5.98752672521253,0.701,0.703,0.458,"05481000"
"all_ws",2.20844366867826,0.287,0.378,0.289,2.7310746134837,0.625,0.515,0.311,"05482000"
"all_ws_attr",1.11914764822801,0.145,0.191,0.519,3.19732174468541,0.732,0.603,0.346,"05482000"
"all_ws_bfs",1.86903313859966,0.243,0.319,0.357,3.44177803438293,0.788,0.649,0.19,"05482000"
"all_ws_bfs_attr",0.942727874900873,0.123,0.161,0.572,3.02494773541855,0.692,0.571,0.344,"05482000"
"local",1.44444148142821,0.188,0.247,0.46,3.63588474203058,0.832,0.686,0.429,"05482000"
"local_bfs",2.3756436447633,0.309,0.406,0.324,3.79027550149492,0.867,0.715,0.384,"05482000"
"all_ws",2.88552750919379,0.258,0.39,0.27,3.04220148312049,0.363,1.087,0.205,"05482300"
"all_ws_attr",1.43583076450472,0.129,0.194,0.517,4.44475023166434,0.53,1.587,0.215,"05482300"
"all_ws_bfs",2.30334979697814,0.206,0.311,0.348,2.61361289252049,0.312,0.933,0.21,"05482300"
"all_ws_bfs_attr",1.3140369573571,0.118,0.178,0.551,3.62959693860732,0.433,1.296,0.237,"05482300"
"local",2.07476220100018,0.186,0.28,0.414,4.91131661194454,0.585,1.754,0.22,"05482300"
"local_bfs",1.89534037369174,0.17,0.256,0.436,4.77057668496133,0.569,1.704,0.227,"05482300"
"all_ws",2.97077830601219,0.29,0.322,0.353,3.45095808616506,0.528,0.683,0.308,"05482500"
"all_ws_attr",1.61883289509913,0.158,0.176,0.542,5.54186001353119,0.849,1.097,0.411,"05482500"
"all_ws_bfs",2.25191261300703,0.22,0.244,0.432,2.63461109796622,0.403,0.522,0.319,"05482500"
"all_ws_bfs_attr",1.32071199508732,0.129,0.143,0.617,4.92087084270246,0.754,0.974,0.383,"05482500"
"local",2.80685883048101,0.274,0.305,0.393,4.73935112370251,0.726,0.938,0.433,"05482500"
"local_bfs",4.86933672420896,0.476,0.528,0.252,4.3738535330824,0.67,0.866,0.363,"05482500"
"all_ws",1.54274161771869,0.228,0.393,0.3,1.90773355388718,0.452,0.415,0.446,"05484000"
"all_ws_attr",0.721623901778856,0.107,0.184,0.508,1.29356890575643,0.306,0.281,0.491,"05484000"
"all_ws_bfs",1.32297602051227,0.195,0.337,0.346,2.01955232274034,0.478,0.439,0.479,"05484000"
"all_ws_bfs_attr",0.699165442608562,0.103,0.178,0.53,0.745027073879219,0.176,0.162,0.547,"05484000"
"local",0.694875742648446,0.103,0.177,0.543,1.32719422894673,0.314,0.289,0.503,"05484000"
"local_bfs",0.606398020750585,0.09,0.154,0.587,1.17041329843957,0.277,0.254,0.514,"05484000"
"all_ws",2.21235587594304,0.279,0.318,0.325,2.50288799576779,0.475,0.491,0.375,"05484500"
"all_ws_attr",1.18440591338348,0.149,0.17,0.553,3.17196019122257,0.602,0.622,0.442,"05484500"
"all_ws_bfs",1.80693835266666,0.228,0.26,0.404,2.0907260305986,0.397,0.41,0.368,"05484500"
"all_ws_bfs_attr",1.09568359133799,0.138,0.157,0.576,2.2128111041918,0.42,0.434,0.45,"05484500"
"local",1.899703806865,0.24,0.273,0.414,3.41978947954117,0.649,0.671,0.399,"05484500"
"local_bfs",2.05106995168507,0.259,0.295,0.396,3.54816490513539,0.674,0.696,0.377,"05484500"
"all_ws",0.304491469463301,0.187,0.982,0.092,0.344792095163698,0.233,1.277,0.095,"05515500"
"all_ws_attr",0.181312807970606,0.111,0.585,0.289,0.193527085164207,0.131,0.717,0.253,"05515500"
"all_ws_bfs",0.279837986782354,0.172,0.903,0.14,0.306260102800398,0.207,1.134,0.162,"05515500"
"all_ws_bfs_attr",0.175789606779894,0.108,0.567,0.305,0.23500375136817,0.159,0.87,0.21,"05515500"
"local",0.172310992130744,0.106,0.556,0.333,0.203501922108459,0.138,0.754,0.257,"05515500"
"local_bfs",0.160761285883929,0.099,0.519,0.335,0.19559872773987,0.132,0.724,0.197,"05515500"
